dataset_name,description,resource_type,metadata_created_date,identifier,doi,publisher,maintainer,a_id,data_last_modified,public_access,data_first_published
Climatic suitability models and assessments for plant species and communities of the Southwestern US,These data were compiled to assess potential changes in the climatic suitability for 66 species (dominant and associate plant species) and forecast climate exposure for 29 major plant communities within...,Dataset,"June 1, 2023",USGS:59d3abb7e4b05fe04cc3d105,Not available,U.S. Geological Survey,Kathryn A Thomas,http://datainventory.doi.gov/id/dataset/37f7d50af463dab93ba1382628750b3f,20221201,public,Not available
"Groundwater nitrate data and ascii grids of predicted nitrate and model inputs for the Central Valley aquifer, California, USA","This public data release contains two ascii grids comprising predicted nitrate concentrations (as NO3-N, mg/L) at two depth zones associated with private and public drinking water supply wells, respectively, in...",Dataset,"June 1, 2023",USGS:58c1d920e4b014cc3a3d3b63,Not available,U.S. Geological Survey,Bernard T Nolan,http://datainventory.doi.gov/id/dataset/b7c78d7129df578f6a551c1fb137b11e,20200826,public,Not available
"Random forest classification data developed from multitemporal Landsat 8 spectral data and phenology metrics for a subregion in Sonoran and Mojave Deserts, April 2013 – December 2020","These data were compiled for the creation of a continuous, transboundary land cover map of Bird Conservation Region 33, Sonoran and Mojave Deserts (BCR 33). Objective(s) of our study were...",Dataset,"June 1, 2023",USGS:62db116dd34e295035a982ed,Not available,U.S. Geological Survey,Pamela L Nagler,http://datainventory.doi.gov/id/dataset/28df99e3e185cfd8f18afb0b79771261,20230210,public,Not available
"Prospectivity models - clastic-dominated (CD) and Mississippi Valley-type (MVT) GeoTIFF grids for the United States, Canada, and Australia",GeoTiff grids of models of prospectivity for clastic-dominated (CD) and Mississippi Valley-type (MVT) Pb-Zn mineralization for the US and Canada (combined) and Australia that used data provided in this report...,Dataset,"August 24, 2023",USGS:619552fbd34eb622f6906b26,Not available,U.S. Geological Survey,Anne E McCafferty,http://datainventory.doi.gov/id/dataset/cc2e07b45bf788a6acf718b01f01a0e4,20230814,public,Not available
"National-Scale Geophysical, Geologic, and Mineral Resource Data and Grids for the United States, Canada, and Australia: Data in Support of the Tri-National Critical Minerals Mapping Initiative","National-scale geologic, geophysical, and mineral resource raster and vector data covering the United States, Canada, and Australia are provided in this data release. The data were compiled as part of...",Dataset,"August 30, 2023",USGS:6193e9f3d34eb622f68f13a5,Not available,U.S. Geological Survey,Anne E McCafferty,http://datainventory.doi.gov/id/dataset/a20c8d338e80ca4c53c836bb48f6b418,20230814,public,Not available
"Data used to model and map manganese in the Northern Atlantic Coastal Plain aquifer system, eastern USA","Data used to model and map manganese concentrations in groundwater in the Northern Atlantic Coastal Plain (NACP) aquifer system, eastern USA, are documented in this data release. The model predicts...",Dataset,"June 1, 2023",USGS:6017f3c0d34edf5c66ef8bfe,Not available,U.S. Geological Survey,Leslie A Desimone,http://datainventory.doi.gov/id/dataset/ae81fc7870789f4fbef5695d722e3e9f,20211018,public,Not available
"Daily surface temperature predictions for 185,549 U.S. lakes with associated observations and meteorological conditions (1980-2020)","Daily lake surface temperatures estimates for 185,549 lakes across the contiguous United States from 1980 to 2020 generated using an entity-aware long short-term memory deep learning model. In-situ measurements used...",Dataset,"June 1, 2023",USGS:60341c3ed34eb12031172aa6,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/82a4d8448a3525e5b7760790504edc08,20220222,public,Not available
Simulated Radar Waveform and RF Dataset Generator for Incumbent Signals in the 3.5 GHz CBRS Band,This software tool generates simulated radar signals and creates RF datasets. The datasets can be used to develop and test detection algorithms by utilizing machine learning/deep learning techniques for the...,Not available,"March 11, 2021",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
ns-3 ORAN Module,This module for ns-3 implements the classes required to model a network architecture based on the O-RAN Alliance's specifications. These models include a Radio Access Network (RAN) Intelligent Controller (RIC)...,Not available,"April 1, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CameraTrapDetectoR Species Model,"CameraTrapDetectoR is an R package that uses deep learning computer vision models to automatically detect, count, and classify common North American domestic and wild species in camera trap images. Data...",Dataset,"March 30, 2024",10.15482/USDA.ADC/1528955,Not available,Agricultural Research Service,"Burns, Amira",Not available,2024-02-20,public,Not available
Daily water column temperature predictions for thousands of Midwest U.S. lakes between 1979-2022 and under future climate scenarios,<p>Lake temperature is an important environmental metric for understanding habitat suitability for many freshwater species and is especially useful when temperatures are predicted throughout the water column (known as temperature...,Dataset,"July 19, 2023",USGS:6206d3c2d34ec05caca53071,Not available,U.S. Geological Survey,Lindsay R.C. Platt,http://datainventory.doi.gov/id/dataset/60f0419d159e897c878f82d2e6f94f3f,20230613,public,Not available
Predictive soil property map: Electrical conductivity (salinity),These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b25782ce172707ed6af7,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/db9972ef50ac76cc34ac0baf06b60370,20200827,public,Not available
GrainGenes- A Global Data Repository for Small Grains,"GrainGenes is an international, centralized crop database for peer-reviewed small grains data and information portal that serves the small grains research and breeding communities (wheat, barley, oat, and rye). The...",Dataset,"March 30, 2024",10113/AA229,Not available,Agricultural Research Service,Taner Sen,Not available,2024-12-23,public,Not available
A Data-Driven Approach to Complex Voxel Predictions in Grayscale Digital Light Processing Additive Manufacturing Using U-nets and Generative Adversarial Networks,Digital light processing (DLP) vat photopolymerization (VP) additive manufacturing (AM) uses patterned UV light to selectively cure a liquid photopolymer into a solid layer. Subsequent layers are printed on to...,Not available,"September 30, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
QSARs for Plasma Protein Binding: Source Data and Predictions,The dataset has all of the information used to create and evaluate 3 independent QSAR models for the fraction of a chemical unbound by plasma protein (Fub) for environmentally relevant...,Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Data for Modeling OFDM Communication Signals with Generative Adversarial Networks,This repository contains results for experiments on generative modeling of synthetic Orthogonal-Frequency Division Multiplexing (OFDM) communication signals. (This record supersedes Software and Data for Modeling OFDM Communication Signals with Generative...,Dataset,"January 24, 2022",ark:/88434/mds2-2532,Not available,National Institute of Standards and Technology,Jack Sklar,Not available,2022-01-21 00:00:00,public,2021-06-29
US EPA EnviroAtlas Meter-Scale Urban Land Cover (MULC) Data Characteristics,"Meter-scale Urban Land Cover (MULC), a unique, high resolution (one meter2 per pixel) land cover dataset, has been developed for 30 US communities for the United States Environmental Protection Agency...",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Process-guided deep learning water temperature predictions: 5a Lake Mendota detailed prediction data,Multiple modeling frameworks were used to predict daily temperatures at 0.5m depth intervals for a set of diverse lakes in the U.S. states of Minnesota and Wisconsin. Process-Based (PB) models...,Dataset,"May 31, 2023",c382750e-0a00-4f41-a604-78114f8fb0b5,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/cd5febad015315cc5075733e301509bf,2020-08-20,public,Not available
Machine-learning model predictions and rasters of specific conductance in the Mississippi Alluvial Plain,"Boosted regression trees (BRT), a type of ensemble-tree machine-learning method, were used to predict specific conductance concentration at multiple depths throughout the Mississippi River Valley alluvial aquifer (MRVA) and underlying...",Dataset,"September 20, 2023",USGS:5e750a89e4b01d50926e1e26,Not available,U.S. Geological Survey,Courtney D. Killian,http://datainventory.doi.gov/id/dataset/b2ae8c0b156aa7e77ebe5975fac75e73,20231129,public,Not available
Process-guided deep learning water temperature predictions: 4a Lake Mendota detailed training data,"This dataset includes compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological Research Program...",Dataset,"June 1, 2023",USGS:5d8a837fe4b0c4f70d0ae8ac,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/077ac64f6c1f62673dfbbc781861e2d9,20200820,public,Not available
"Estimated quantiles for the pour points of 9,203 level-12 hydrologic unit codes in the southeastern United States, 1950--2009","This page contains 15 estimated quantiles for 9,203 level-12 Hydrologic Unit Code in the Southeastern United States for the decades 1950-1959, 1960-1969, 1970-1979, 1980-1989, 1990-1999, and 2000-2009. A multi-output neural...",Dataset,"June 1, 2023",USGS:5c98bb40e4b0b8a7f6288b6f,Not available,U.S. Geological Survey,Rodney R Knight,http://datainventory.doi.gov/id/dataset/b4a0b0409944ee0c6b4ea9a48da27398,20200821,public,Not available
Importance of predictor variables for models of chemical function,Importance of random forest predictors for all classification models of chemical function.,Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Redox zone rasters of groundwater in the Mississippi River Valley alluvial and Claiborne aquifers,Groundwater is a vital resource in the Mississippi embayment physiographic region (Mississippi embayment) of the central United States and can be limited in some areas by high concentrations of trace...,Dataset,"June 1, 2023",USGS:5e823a5ce4b01d5092794a0d,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/d10e5cca6c546bbd9ddbf8d77798e763,20220504,public,Not available
"Machine-learning model predictions and groundwater-quality rasters of specific conductance, total dissolved solids, and chloride in aquifers of the Mississippi Embayment","Groundwater is a vital resource in the Mississippi embayment of the central United States. An innovative approach using machine learning (ML) was employed to predict groundwater salinity—including specific conductance (SC),...",Dataset,"June 1, 2023",USGS:5d6e6bcae4b0c4f70cf63597,Not available,U.S. Geological Survey,Katherine J. Knierim,http://datainventory.doi.gov/id/dataset/72d9953c9373f4643dabf1728f7897de,20200821,public,Not available
Drinking Water Microbiome Taxonomic Lineage Abundance Data Set,"An abundance matrix (BM_taxonomic_lineage.xlsx) contains rows as taxonomic lineage, columns as samples, and entries representing the abundance of each lineage as a ratio of all sequences obtained for each individual...",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Satellite-derived shorelines and foredune toes along Minnesota Point (Duluth, MN) from 2016 to 2023","This data release contains 2 shapefiles which include 626 unique shorelines and 3 foredune toes spanning 2016 to 2023 along Minnesota Point, a 9-kilometer long bay-mouth bar at the western...",Dataset,"September 26, 2024",USGS:668c1851d34e463649da95d0,Not available,U.S. Geological Survey,Collin J. Roland,http://datainventory.doi.gov/id/dataset/b667c1e18eab7cf0e4b5ff8920017aec,20241118,public,Not available
Process-guided deep learning water temperature predictions: 4 Training data,"This dataset includes compiled water temperature data from a variety of sources, including the Water Quality Portal (Read et al. 2017), the North Temperate Lakes Long-TERM Ecological Research Program (https://lter.limnology.wisc.edu/),...",Dataset,"June 2, 2023",17c44a94-ca8a-4952-8445-a9d88c5b0c9b,Not available,Climate Adaptation Science Centers,U.S. Geological Survey (Point of Contact),http://datainventory.doi.gov/id/dataset/155fdd5245f99c3248b945314b3611d1,2020-08-20,public,Not available
Dark solitons in BECs dataset 2.0,"Atomic Bose-Einstein condensates (BECs) are widely investigated systems that exhibit quantum phenomena on a macroscopic scale. For example, they can be manipulated to contain solitonic excitations including conventional solitons, vortices,...",Dataset,"March 11, 2021",ark:/88434/mds2-2363,Not available,National Institute of Standards and Technology,Justyna Zwolak,Not available,2022-05-05 00:00:00,public,Not available
Pre-fire predicted burn severity for estimating hazard of post-fire debris flow for conservation populations of blue-lineage Colorado River Cutthroat Trout (Oncorhynchus clarkii pleuriticus) in the Upper Colorado River Basin,These data were compiled for/to estimate predicted pre-fire burn severity for estimating hazard of post-fire debris flow for conservation populations of blue-lineage Colorado River Cutthroat Trout. Objective(s) of our study...,Dataset,"October 13, 2024",USGS:66a3d1d2d34ef465b882212e,Not available,U.S. Geological Survey,Seth M Munson,http://datainventory.doi.gov/id/dataset/3f15a5abf9f3605baa2807fa478804c2,20241009,public,Not available
Mojave Desert Ecoregion,"This is a shapefile of the Mojave Desert, which was used as our study area boundary (MojaveEcoregion_TNS_UTM83.shp).",Dataset,"June 1, 2023",USGS:6307b5c5d34e3b967a8c12d1,Not available,U.S. Geological Survey,Data Manager,http://datainventory.doi.gov/id/dataset/6aacadb6ae6acc0fe92ca8c264ee7572,20221028,public,Not available
Predictive soil property map: Organic matter,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b2f182ce172707ed7072,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/665018ad43198540b51d7dbe513ce293,20200827,public,Not available
"Catchments and Variables Used for Random Forest Classification and Regression Groundwater and Surface Water Models for Nitrate Violation classes, Violation concentrations, or Percent of Systems in Violation for Public Drinking Water Supplies","This dataset is associated with the following publication: Pennino, M., S. Leibowitz, J. Compton, R. Hill, and R. Sabo. Patterns and predictions of drinking water nitrate violations across the conterminous...",Not available,"January 5, 2021",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
In Silico Prediction of Physicochemical Properties of Environmental Chemicals Using Molecular Fingerprints and Machine Learning,"QSAR Model Reporting Formats. Examples of R code: feature selection and regression analysis. Figure S1: Data distribution of logBCF, BP, MP and logVP. Figures S2–S5: Relationship between model complexity and...",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Predictive soil property map: Erodability,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b27d82ce172707ed6c87,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/cbac9de0efad4460c952ad8408326e9f,20200827,public,Not available
NaKnowBase_11202020,"NaKnowBase 11202020 version submitted with Boyes et al., 2022.",Not available,"June 27, 2024",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Training and validation data from the AI for Critical Mineral Assessment Competition,"Extracting useful and accurate information from scanned geologic and other earth science maps is a time-consuming and laborious process involving manual human effort. To address this limitation, the USGS partnered...",Dataset,"December 23, 2023",USGS:63a100d6d34e0de3a1f2794f,Not available,U.S. Geological Survey,Margaret A Goldman,http://datainventory.doi.gov/id/dataset/9ee0a2621ef801e9262540b4c616b03f,20231227,public,Not available
Super-Resolution for Renewable Resource Data and Urban Heat Islands (Sup3rUHI),Super-Resolution for Renewable Resource Data and Urban Heat Islands (Sup3rUHI) introduces machine learning methods to incorporate high-resolution Urban Heat Island (UHI) effects into low-resolution historical reanalysis and future climate model...,Dataset,"October 24, 2024",https://data.openei.org/submissions/6220,Not available,The National Renewable Energy Lab (NREL),Grant Buster,Not available,2024-10-23T15:01:40Z,public,2024-10-16T06:00:00Z
"Projecting Violent Re-Offending in a Parole Population: Developing a Real-Time Forecasting Procedure to Inform Parole Decision-Making, Pennsylvania, 2012-2014","The University of Pennsylvania, in collaboration with the Pennsylvania Board of Probation and Parole (PBPP), began developing a violent forecast model utilizing the machine learning procedure random forest. By the...",Dataset,"February 13, 2023",4237,Not available,National Institute of Justice,Open Data Office of Justice Programs (USDOJ),Not available,2022-02-10T09:08:10,restricted public,2022-02-10T08:59:47
"Dataset for  paper Y. Ma, S. Mosleh and J. Coder, ""Analyzing 5G NR-U and WiGig Coexistence with Multiple-Beam Directional LBT,"" 2022 IEEE 19th Annual Consumer Communications & Networking Conference (CCNC), 2022, pp. 272-275, doi: 10.1109/CCNC49033.2022.9700690","This project  produces  synthetic  datasets of  spectrum sharing simulation results (I/Q data, metadata, and KPIs).",Not available,"July 29, 2022",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Data from: Modeling the Spread of a Livestock Disease With Semi-Supervised Spatiotemporal Deep Neural Networks,"This dataset contains the spatiotemporal data used to train the spatiotemporal deep neural networks described in ""Modeling the Spread of a Livestock Disease With Semi-Supervised Spatiotemporal Deep Neural Networks"". The...",Dataset,"March 30, 2024",10.15482/USDA.ADC/1528345,Not available,Agricultural Research Service,"Stucky, Brian",Not available,2023-12-18,public,Not available
